"","Date","MAPE","RMSE","peak","peak_pred"
"1",2019-01-01,6.90459170524352,740.430056446691,"18","18"
"2",2019-01-02,3.39757579913899,460.296367266958,"19","18"
"3",2019-01-03,2.78519643690861,355.751576366826,"18","18"
"4",2019-01-04,2.06841582283878,279.818660122653,"18","18"
"5",2019-01-05,5.63278262745551,709.754499674863,"18","18"
"6",2019-01-06,2.14560328258616,279.478595375442,"18","18"
"7",2019-01-07,2.369997791068,333.741355706518,"18","17"
"8",2019-01-08,2.45582993200654,338.741989820948,"18","18"
"9",2019-01-09,1.73637946431716,202.381267750335,"18","18"
"10",2019-01-10,1.3020812772591,159.922866241086,"18","18"
"11",2019-01-11,1.93795690900671,231.395796349687,"18","17"
"12",2019-01-12,4.02084353061079,450.970375759443,"18","18"
"13",2019-01-13,2.64946607833252,290.671508251898,"18","18"
"14",2019-01-14,7.31693571676182,903.405375968245,"17","18"
"15",2019-01-15,4.33109453145432,570.867133492261,"18","18"
"16",2019-01-16,2.38779282259852,298.210310922226,"18","18"
"17",2019-01-17,4.51884221795354,533.77867568742,"17","18"
"18",2019-01-18,2.88676491265918,331.776011974987,"18","18"
"19",2019-01-19,6.83475503555616,780.27654637247,"18","18"
"20",2019-01-20,6.47678730935792,639.912772720729,"18","18"
"21",2019-01-21,5.79273091127544,739.594262124641,"18","18"
"22",2019-01-22,2.6143632995573,344.614069253777,"18","18"
"23",2019-01-23,2.38124033433144,333.732254934892,"18","18"
"24",2019-01-24,2.54215239339081,355.007426102477,"18","18"
"25",2019-01-25,1.34331063855587,163.010217808592,"18","18"
"26",2019-01-26,2.1400416959576,216.502020338471,"18","18"
"27",2019-01-27,5.35984329254029,525.535751045957,"18","18"
"28",2019-01-28,2.8212148831546,324.191851165785,"18","18"
"29",2019-01-29,3.17979031540485,376.788686574512,"18","18"
"30",2019-01-30,1.67123346221117,197.064362837476,"18","18"
"31",2019-01-31,3.03004683055198,379.088984103515,"18","18"
"32",2019-02-01,1.0087864768021,148.144885295277,"18","18"
"33",2019-02-02,5.23150531728209,673.282498469606,"18","18"
"34",2019-02-03,4.49534478630148,507.659022952077,"19","18"
"35",2019-02-04,3.39827543159221,435.284976055349,"18","18"
"36",2019-02-05,2.71333342881658,346.113379864203,"18","18"
"37",2019-02-06,3.59173927738125,471.153206228056,"18","18"
"38",2019-02-07,4.44831155274728,617.060921732406,"18","18"
"39",2019-02-08,1.89651167282057,235.469633883783,"18","18"
"40",2019-02-09,4.09548433353203,506.088389254765,"18","18"
"41",2019-02-10,3.61224089369325,397.499712453345,"18","18"
"42",2019-02-11,3.77559371211491,528.670384428735,"18","18"
"43",2019-02-12,1.78271441971591,228.550181253655,"18","18"
"44",2019-02-13,4.25468987414344,532.806589051983,"18","18"
"45",2019-02-14,4.39669167013317,642.604034957922,"10","18"
"46",2019-02-15,1.45629332742658,199.907082355521,"18","18"
"47",2019-02-16,2.06865930595994,291.862662120663,"18","18"
"48",2019-02-17,3.1697779490116,372.265512423364,"19","18"
"49",2019-02-18,1.68397382092354,246.31704340938,"19","18"
"50",2019-02-19,2.24085505059517,313.856949158646,"19","18"
"51",2019-02-20,2.431490470505,329.110641805636,"18","19"
"52",2019-02-21,2.2082370160757,301.752523903949,"18","18"
"53",2019-02-22,2.86324838591043,391.278726565369,"19","18"
"54",2019-02-23,1.1885424854912,142.196864818506,"18","19"
"55",2019-02-24,4.48425001316826,528.882533826124,"19","19"
"56",2019-02-25,1.83499012380387,223.366729082949,"18","19"
"57",2019-02-26,2.94513055858919,355.272868282579,"18","19"
"58",2019-02-27,3.94601958546557,441.91863786684,"19","18"
"59",2019-02-28,5.39952418209278,630.260588669376,"18","19"
"60",2019-03-01,4.85968900142473,529.235343803264,"18","18"
"61",2019-03-02,3.16404110274373,336.350680722732,"18","18"
"62",2019-03-03,4.83481400882745,481.30465111856,"18","19"
"63",2019-03-04,3.10926674838872,370.406948216084,"18","18"
"64",2019-03-05,3.79101384765904,457.192683497037,"18","18"
"65",2019-03-06,4.13038299042108,550.534543467851,"18","18"
"66",2019-03-07,1.75041324641463,204.675136528607,"18","18"
"67",2019-03-08,3.10713487155309,375.033414619705,"18","19"
"68",2019-03-09,3.91077628185023,436.314433297927,"18","18"
"69",2019-03-10,3.28633881366598,369.575884701399,"20","19"
"70",2019-03-11,5.9446018478494,724.376887201954,"19","18"
"71",2019-03-12,3.5057611193995,443.025316063848,"19","19"
"72",2019-03-13,7.46259322724316,1052.72203957909,"20","19"
"73",2019-03-14,2.54930921639306,342.689023778471,"19","19"
"74",2019-03-15,6.02012797368144,749.158766352872,"20","20"
"75",2019-03-16,2.26098885177056,270.967467122863,"19","19"
"76",2019-03-17,3.40477084628636,349.114558942036,"19","20"
"77",2019-03-18,2.31263243169585,295.365150807657,"19","19"
"78",2019-03-19,1.7591248947517,247.842503003185,"19","19"
"79",2019-03-20,1.80694107503822,227.83697548326,"19","19"
"80",2019-03-21,3.15245609556372,429.622067523609,"19","19"
"81",2019-03-22,1.07819286668206,135.024745429037,"19","19"
"82",2019-03-23,2.65703181040068,319.596114944884,"20","20"
"83",2019-03-24,5.33383116592951,586.845071252551,"20","20"
"84",2019-03-25,1.4645131708151,193.670102843836,"19","19"
"85",2019-03-26,2.08111785984386,258.292984846609,"19","19"
"86",2019-03-27,1.46583215835401,206.842733389573,"19","19"
"87",2019-03-28,1.61463602976322,207.289932062436,"20","19"
"88",2019-03-29,1.5950401425951,205.141123988961,"19","20"
"89",2019-03-30,1.7424398681745,205.269909349937,"20","20"
"90",2019-03-31,4.24600272297425,531.306028807753,"19","20"
"91",2019-04-01,3.24186590962402,411.659840456572,"19","20"
"92",2019-04-02,1.61115606207233,197.291177356046,"20","20"
"93",2019-04-03,1.75300491390427,208.475831109316,"20","20"
"94",2019-04-04,2.5723883519007,306.220901835639,"19","19"
"95",2019-04-05,2.18736213052759,315.816336207349,"20","20"
"96",2019-04-06,2.26826519615597,264.971627650167,"20","20"
"97",2019-04-07,3.27393716023233,332.717620687133,"20","20"
"98",2019-04-08,2.34579469384053,350.981501543115,"19","19"
"99",2019-04-09,2.83203616796312,347.4281755975,"20","19"
"100",2019-04-10,2.28823493154916,265.98040548563,"20","20"
"101",2019-04-11,3.2283310447869,444.889461392206,"20","20"
"102",2019-04-12,3.19740802453599,365.489685965688,"20","20"
"103",2019-04-13,2.07512319210242,210.249599690877,"20","20"
"104",2019-04-14,1.63159141646773,166.977205170273,"20","20"
"105",2019-04-15,1.90872770558315,239.127676877361,"20","20"
"106",2019-04-16,4.82181413361019,616.557005084637,"20","20"
"107",2019-04-17,3.27097015619099,359.325650799165,"20","20"
"108",2019-04-18,4.45106932965437,633.779069029562,"20","20"
"109",2019-04-19,3.84664464936267,512.180030778779,"19","20"
"110",2019-04-20,2.92832180249483,343.569643545292,"20","20"
"111",2019-04-21,3.62794499212751,501.53056008266,"20","20"
"112",2019-04-22,3.30629569660951,416.619259563875,"20","20"
"113",2019-04-23,1.69896766202063,219.195842758425,"20","20"
"114",2019-04-24,2.49573300431021,369.228996880394,"19","20"
"115",2019-04-25,2.50313758907226,365.47255729228,"17","19"
"116",2019-04-26,3.34765006635352,408.47023591896,"20","20"
"117",2019-04-27,2.75799037964768,322.706616951085,"20","20"
