"","Date","MAPE","RMSE","peak","peak_pred"
"1",2017-01-01,3.19010074044569,383.387716858678,"18 19","19"
"2",2017-01-02,5.14973107476537,612.416655963814,"18","18"
"3",2017-01-03,4.21469438789217,546.140788283972,"18","19"
"4",2017-01-04,2.26047300534467,280.866879123008,"18","18"
"5",2017-01-05,1.23244620123289,197.547972353964,"18","18"
"6",2017-01-06,2.69462771629804,321.971006102913,"18","18"
"7",2017-01-07,3.6979938970804,434.368876985749,"18","18"
"8",2017-01-08,1.8713346862819,219.542224084713,"18","18"
"9",2017-01-09,6.38524386105357,864.866038491686,"18","18"
"10",2017-01-10,2.20484419926074,304.878633035305,"18","18"
"11",2017-01-11,1.08692347941212,131.358033633454,"18","18"
"12",2017-01-12,4.13055810795584,603.274098867194,"18","18"
"13",2017-01-13,3.84405371461446,439.144005514988,"18","17"
"14",2017-01-14,2.66612770108825,316.987199710813,"18","18"
"15",2017-01-15,0.937269394789221,129.639916968254,"18","18"
"16",2017-01-16,2.49813215908188,338.01519761005,"18","18"
"17",2017-01-17,2.60932506690464,320.784958318696,"18","18"
"18",2017-01-18,1.66629731043241,323.500049333471,"18","18"
"19",2017-01-19,1.74117434599334,253.86162988729,"18","18"
"20",2017-01-20,3.92780284456669,610.021718075976,"18","18"
"21",2017-01-21,1.42599984904173,217.581534794967,"18","18"
"22",2017-01-22,6.95600707537767,939.94925982941,"18","18"
"23",2017-01-23,4.06387405203442,545.555892472308,"18","18"
"24",2017-01-24,3.18181488123221,408.20642947852,"18","18"
"25",2017-01-25,2.63407523627106,392.749113000858,"18","18"
"26",2017-01-26,2.65194127250444,374.673192912985,"18","19"
"27",2017-01-27,2.43302010066005,314.226905309145,"18","18"
"28",2017-01-28,2.05527603469079,277.113851808811,"18","19"
"29",2017-01-29,4.65664250260381,678.907956024736,"18","18"
"30",2017-01-30,2.46272973346438,331.92694789576,"18","18"
"31",2017-01-31,1.93994274210618,244.296916326816,"18","18"
"32",2017-02-01,1.69413423348166,216.803378872203,"18","18"
"33",2017-02-02,1.10715937531419,162.090158162896,"18","18"
"34",2017-02-03,2.69675136934032,343.138232103491,"18","18"
"35",2017-02-04,2.13722047884752,260.368232460307,"18","18"
"36",2017-02-05,1.57783892536796,203.644215574274,"19","18"
"37",2017-02-06,3.35054884996464,469.273210970845,"18","18"
"38",2017-02-07,1.1245829609602,152.928295995325,"18","18"
"39",2017-02-08,1.03871841965487,154.27508487886,"18","18"
"40",2017-02-09,1.48806361785042,209.284654405018,"18","18"
"41",2017-02-10,2.07121352190618,277.642265237005,"18","18"
"42",2017-02-11,3.07739725040392,375.199645143554,"18","18"
"43",2017-02-12,2.92205678029011,337.261740872715,"18","19"
"44",2017-02-13,2.07024367513411,279.539426430558,"18","18"
"45",2017-02-14,2.71791738326014,356.082653423854,"18","18"
"46",2017-02-15,3.25103396762843,390.922591655323,"18","18"
"47",2017-02-16,2.8421246675744,323.961807665088,"18","18"
"48",2017-02-17,2.71603450174122,362.91477736167,"18","18"
"49",2017-02-18,2.31386420594231,260.164140684769,"19","18"
"50",2017-02-19,6.97482111655269,782.40256156636,"18","19"
"51",2017-02-20,6.27642965468497,727.700423145068,"18","18"
"52",2017-02-21,2.68553232658271,322.885030567389,"18","18"
"53",2017-02-22,3.42236396389899,433.10551512227,"18","18"
"54",2017-02-23,4.04644951043808,525.969099213926,"19","18"
"55",2017-02-24,4.920106796723,670.80293602314,"19","18"
"56",2017-02-25,1.65071402230239,237.033782962528,"18","19"
"57",2017-02-26,0.966878387564115,120.412712097519,"19","19"
"58",2017-02-27,6.64419016700137,866.72472651037,"18","19"
"59",2017-02-28,3.74798145675844,449.662314163197,"19","18"
"60",2017-03-01,2.94432642012378,363.223460098255,"18","19"
"61",2017-03-02,3.21979077869956,396.191951655919,"18","18"
"62",2017-03-03,4.06079775342587,503.26475055054,"18","19"
"63",2017-03-04,5.62523220026356,574.198352110817,"18","18"
"64",2017-03-05,4.32652441773138,442.57900095096,"19","19"
"65",2017-03-06,4.21624750123101,622.543857053189,"19","18"
"66",2017-03-07,1.78888194070394,248.795569576647,"18","18"
"67",2017-03-08,2.86008794906622,337.48385310868,"18","19"
"68",2017-03-09,2.15634307127312,295.654392825028,"18","18"
"69",2017-03-10,3.63505596964436,515.587056644673,"18","18"
"70",2017-03-11,2.87623528385581,333.439976778764,"18","19"
"71",2017-03-12,2.50071378019715,303.148642998933,"19","19"
"72",2017-03-13,3.04021260148687,422.844793272413,"19","18"
"73",2017-03-14,4.75731502037018,712.95187928615,"19","19"
"74",2017-03-15,2.44715316070381,312.728059134287,"19","19"
"75",2017-03-16,2.16855723537597,312.013312052879,"19","16"
"76",2017-03-17,2.37143658569126,312.820915157771,"19","19"
"77",2017-03-18,1.94944081480607,239.795207163101,"19","19"
"78",2017-03-19,1.95869875175233,285.083554942449,"20","20"
"79",2017-03-20,2.47279864839539,356.800972217899,"19","19"
"80",2017-03-21,1.02480812085241,146.278368024361,"19","19"
"81",2017-03-22,2.41460136125806,338.905908184323,"20","19"
"82",2017-03-23,3.62602667476187,505.637072290789,"20","19"
"83",2017-03-24,2.93493283697905,376.303453518994,"20","19"
"84",2017-03-25,5.13037593034493,620.301900968403,"20","19"
"85",2017-03-26,5.14694238713193,569.071722333097,"20","20"
"86",2017-03-27,4.49413512581321,570.717683899863,"20","20"
"87",2017-03-28,1.96440033328234,230.254046390431,"20","20"
"88",2017-03-29,2.38171881305567,308.214105259053,"20","20"
"89",2017-03-30,2.43931496345594,296.847453415698,"20","20"
"90",2017-03-31,3.03456537501076,477.638067095568,"20","19"
"91",2017-04-01,3.40082668449041,442.158433967902,"20","20"
"92",2017-04-02,3.77693401331708,416.505791095945,"20","20"
"93",2017-04-03,1.95213711838479,237.454661968037,"20","20"
"94",2017-04-04,1.31004644374216,209.411124756944,"20","19"
"95",2017-04-05,3.30317645065121,412.177968849524,"20","19"
"96",2017-04-06,3.71215849671796,469.854819574676,"20","20"
"97",2017-04-07,1.13108553649552,141.821846414306,"20","19"
"98",2017-04-08,1.62260393895747,187.628877139125,"20","20"
"99",2017-04-09,1.37271455886687,151.153243999378,"20","20"
"100",2017-04-10,1.5751748254093,195.808756270998,"20","20"
"101",2017-04-11,2.06606712402097,265.351399222497,"19","20"
"102",2017-04-12,1.87430741809771,282.617327800296,"20","20"
"103",2017-04-13,1.77561617492346,225.362177642652,"20","19"
"104",2017-04-14,2.00570177457397,246.206196965302,"20","20"
"105",2017-04-15,1.77584395199594,202.278002096934,"20","20"
"106",2017-04-16,2.88060706079087,325.248495448851,"20","20"
"107",2017-04-17,2.69470615763279,379.611869656638,"20","20"
"108",2017-04-18,4.46219966725907,633.661888228528,"20","20"
"109",2017-04-19,1.9133702939911,290.819117321161,"20","20"
"110",2017-04-20,1.22670764933423,186.817509886978,"20","20"
"111",2017-04-21,4.90008338239364,810.331350688943,"17","20"
"112",2017-04-22,9.12901047859111,1246.1927257365,"17","20"
"113",2017-04-23,3.85216246980349,446.793861944455,"20","20"
"114",2017-04-24,3.0545119153566,439.557057875988,"20","18"
"115",2017-04-25,3.16609537224047,371.288071186365,"20","20"
"116",2017-04-26,1.7394138026882,232.492203954137,"20","20"
"117",2017-04-27,3.03519196560742,454.666110261745,"20","20"
"118",2017-04-28,2.75904411225437,406.377130019022,"20","20"
"119",2017-04-29,2.33756678429029,300.861106111067,"20","20"
"120",2017-04-30,2.23218741563426,311.363429639485,"20","20"
"121",2017-05-01,2.43912068510552,352.064346944581,"17","19"
"122",2017-05-02,2.74060576645465,456.56287933565,"16 17","16"
"123",2017-05-03,3.68409546694841,552.220687876544,"17","17"
"124",2017-05-04,2.59894416303483,415.999541159009,"16","15"
"125",2017-05-05,2.5169109221782,394.460541040976,"15","18"
"126",2017-05-06,5.52994877294146,848.836771436184,"20","20"
"127",2017-05-07,5.86403265760209,768.370316626448,"20","20"
"128",2017-05-08,2.49326739667836,340.542996614408,"20","20"
"129",2017-05-09,0.855436442875383,123.069008075829,"20","20"
"130",2017-05-10,1.91256513030833,262.673512124322,"20","20"
"131",2017-05-11,1.5777457699662,215.667561775194,"20","20"
"132",2017-05-12,1.29653218423125,172.47981265715,"20","20"
"133",2017-05-13,2.96275957853079,377.21895920011,"20","20"
"134",2017-05-14,2.07749015091714,262.291707883078,"20","20"
"135",2017-05-15,1.49299626957313,204.851892828741,"20","20"
"136",2017-05-16,2.05967577737852,271.851617065993,"20","20"
"137",2017-05-17,1.42223032217705,204.972879941307,"20","20"
"138",2017-05-18,2.31419530170497,336.212148859656,"20","20"
"139",2017-05-19,2.10722375683543,317.281016668116,"17","20"
"140",2017-05-20,9.22681641511158,1424.74484359749,"18","20"
"141",2017-05-21,12.0771298853585,1624.50775589647,"17","20"
"142",2017-05-22,5.02055277382097,732.943114860913,"17","17"
"143",2017-05-23,2.85738745051803,414.92460066817,"17","18"
"144",2017-05-24,4.90965151804653,679.064074723781,"15","15"
"145",2017-05-25,2.73672698039875,361.10534001518,"20","20"
"146",2017-05-26,2.98971324588623,506.269043383431,"20","16"
"147",2017-05-27,7.49418416567385,918.561060912031,"20","20"
"148",2017-05-28,5.47506049808521,650.717542419835,"20","20"
"149",2017-05-29,8.29025704166937,1174.80651100613,"20","20"
"150",2017-05-30,2.89969475980387,386.673635563994,"20","20"
"151",2017-05-31,2.37722511528364,290.847275774134,"20","20"
"152",2017-06-01,1.5634908334299,203.986665755771,"20","20"
"153",2017-06-02,3.0884507895554,433.210771781972,"17","16"
"154",2017-06-03,7.86692395940531,1085.18096229296,"17","19"
"155",2017-06-04,2.22410600696705,312.338084962271,"18","17"
"156",2017-06-05,3.65193157391865,610.316944958316,"17","16"
"157",2017-06-06,2.29423671833787,301.845734882938,"16","17"
"158",2017-06-07,3.93687129948959,638.452920822726,"17","15"
"159",2017-06-08,1.68024352757782,227.537295589204,"20","20"
