"","Date","MAPE","RMSE","peak","peak_pred"
"1",2018-01-01,4.56346333792004,507.035275832748,"18","19"
"2",2018-01-02,5.03755766451884,582.734965161101,"18","17"
"3",2018-01-03,2.75237631091478,325.559723414074,"17","18"
"4",2018-01-04,1.1700940970849,158.879535005703,"18","17"
"5",2018-01-05,3.17521174064347,391.42197870116,"17","18"
"6",2018-01-06,3.7293238755971,430.425842485897,"18","18"
"7",2018-01-07,3.42897621879356,351.095284905996,"18","19"
"8",2018-01-08,6.15052146379786,787.298770169197,"17","18"
"9",2018-01-09,1.52941012303017,203.693107437234,"18","18"
"10",2018-01-10,2.84226343001002,437.571061202703,"18","18"
"11",2018-01-11,3.23056342621321,456.037720693525,"18","18"
"12",2018-01-12,3.28138516137172,383.958649225519,"18","18"
"13",2018-01-13,2.58955623916456,343.953679049061,"18","18"
"14",2018-01-14,3.66759750824002,401.410136159834,"18","18"
"15",2018-01-15,1.67497737095044,188.876506819823,"18","18"
"16",2018-01-16,1.67649557338408,217.686219146654,"18","18"
"17",2018-01-17,1.9067960229161,231.776221942744,"18","18"
"18",2018-01-18,1.65171560664816,201.862582162779,"18","18"
"19",2018-01-19,1.30640770958981,179.212601194095,"18","18"
"20",2018-01-20,2.13725057196899,282.310246308603,"18","18"
"21",2018-01-21,5.03117182483658,720.017852423118,"18","18"
"22",2018-01-22,2.90540098113582,392.822223177093,"18","18"
"23",2018-01-23,1.39485703821661,200.938892512668,"18","18"
"24",2018-01-24,2.30248514178931,306.004882522041,"18","18"
"25",2018-01-25,1.75688097757858,237.225020128084,"18","18"
"26",2018-01-26,2.05193129085664,284.988796532802,"18","18"
"27",2018-01-27,1.12308495942202,150.230170366244,"18","18"
"28",2018-01-28,1.46566507021485,179.325059493274,"18","18"
"29",2018-01-29,3.67397124067568,518.024891373221,"18","18"
"30",2018-01-30,2.90727265056077,458.239643387005,"18","18"
"31",2018-01-31,1.3451830349318,288.394044091354,"18","18"
"32",2018-02-01,1.82876082521527,263.065483185097,"18","18"
"33",2018-02-02,1.48779867559518,221.108102471828,"18","18"
"34",2018-02-03,2.04002192863498,226.001980148693,"18","18"
"35",2018-02-04,1.88265256252524,236.402329981772,"18","18"
"36",2018-02-05,3.82682746019504,481.628293245413,"18","18"
"37",2018-02-06,2.65107059549127,419.110953139717,"18","18"
"38",2018-02-07,1.40812461412963,202.53698268315,"18","18"
"39",2018-02-08,1.35690168847454,199.024644419157,"18","18"
"40",2018-02-09,1.45452069366261,203.012722203883,"18","18"
"41",2018-02-10,3.24660459994234,407.017734576166,"18","18"
"42",2018-02-11,1.70863276656137,197.563692051846,"19","18"
"43",2018-02-12,1.94599718885365,297.831994833154,"18","18"
"44",2018-02-13,2.27706626173588,267.855213457118,"18","18"
"45",2018-02-14,2.22652103743723,289.456866780705,"18","18"
"46",2018-02-15,1.17618980181029,175.847674688271,"18","18"
"47",2018-02-16,3.53161835907311,578.624265524884,"18","18"
"48",2018-02-17,3.37603557000867,412.222801379104,"18","18"
"49",2018-02-18,3.56711499606107,436.038214831963,"18","18"
"50",2018-02-19,3.57018259010045,442.764519341295,"19","18"
"51",2018-02-20,6.16736101745469,733.979935334229,"19","18"
"52",2018-02-21,2.83356711887309,343.601910613658,"19","18"
"53",2018-02-22,1.73501412026568,224.890906049628,"19","18"
"54",2018-02-23,2.3550890907067,281.987603762868,"19","18"
"55",2018-02-24,2.66515618516047,294.085081109783,"19","18"
"56",2018-02-25,1.69624941132842,197.606795137613,"19","19"
"57",2018-02-26,2.16737712919411,254.519521798658,"18","19"
"58",2018-02-27,2.95902324006735,351.448789298136,"19","19"
"59",2018-02-28,1.93575973336731,263.138228379483,"19","18"
"60",2018-03-01,1.9886194188756,261.643075349063,"19","18"
"61",2018-03-02,2.88327651386618,416.358836869736,"18","18"
"62",2018-03-03,2.27463511436632,259.987552543916,"19","18"
"63",2018-03-04,3.15155543552885,389.578166681589,"19","18"
"64",2018-03-05,1.59926455846503,188.357036854185,"18","19"
"65",2018-03-06,3.43755512559429,390.958187247442,"18","19"
"66",2018-03-07,3.41500683911816,395.387025572746,"18","19"
"67",2018-03-08,2.50309450684322,313.529437945911,"19","18"
"68",2018-03-09,2.67278076719898,380.938704136915,"18","18"
"69",2018-03-10,3.2282212489779,361.449969753821,"18","18"
"70",2018-03-11,2.76502424601739,405.487438986138,"20","19"
"71",2018-03-12,1.7469098486178,239.962089973842,"19","18"
"72",2018-03-13,1.94431214926493,269.921252882383,"19","19"
"73",2018-03-14,2.18294178301726,334.298058368893,"20","19"
"74",2018-03-15,3.59509505512631,501.844623707891,"20","19"
"75",2018-03-16,2.62424335629931,330.123430645733,"19","20"
"76",2018-03-17,4.42973735267961,642.837658582913,"20","19"
"77",2018-03-18,2.77550215475486,354.358674500657,"20","19"
"78",2018-03-19,2.21368797535806,282.773170743339,"19","19"
"79",2018-03-20,2.41625202363563,289.231301780842,"19","19"
"80",2018-03-21,2.9465107006055,386.160358589958,"19","19"
"81",2018-03-22,4.62992480498815,724.34856481375,"11","19"
"82",2018-03-23,2.70109885243418,368.004819772305,"20","19"
"83",2018-03-24,2.62764054562415,339.095710215406,"20","20"
"84",2018-03-25,2.20718787925765,249.616417793834,"20","20"
"85",2018-03-26,2.4102174483006,303.994563102938,"20","19"
"86",2018-03-27,3.24612271788272,362.013737295012,"20","19"
"87",2018-03-28,2.14077241514288,255.340498777931,"20","20"
"88",2018-03-29,2.5371467696983,400.539982489215,"21","20"
"89",2018-03-30,4.54565263749372,536.037895789431,"20","20"
"90",2018-03-31,2.87386993802681,327.290786947609,"21","20"
"91",2018-04-01,3.33958490617336,436.843223711956,"21","20"
"92",2018-04-02,4.13668380967823,496.138818192926,"21","20"
"93",2018-04-03,3.1471357961272,430.432970654417,"21","20"
"94",2018-04-04,2.38318236322486,321.01113585512,"20","20"
"95",2018-04-05,1.87862256306025,249.193120209415,"21","20"
"96",2018-04-06,1.43130357578724,191.618532160243,"21","20"
"97",2018-04-07,2.18590932328948,252.208436194049,"21","20"
"98",2018-04-08,2.7519812218058,340.03122429228,"21","20"
"99",2018-04-09,4.99323261255625,741.363039261354,"20","20"
"100",2018-04-10,4.38376304379943,666.418236130254,"18","20"
"101",2018-04-11,3.32429288201976,485.013387299884,"20","17"
"102",2018-04-12,5.09375210119707,801.978933420529,"21","20"
"103",2018-04-13,2.16534430181755,283.194490098676,"21","20"
"104",2018-04-14,2.62663788172825,329.632662287108,"21","20"
"105",2018-04-15,2.95904882660249,315.318860946513,"21","20"
"106",2018-04-16,4.11215457288098,542.558060765526,"21","21"
"107",2018-04-17,5.58479766149019,776.899458396965,"21","20"
"108",2018-04-18,3.27087315101079,452.804595609003,"21","20"
"109",2018-04-19,2.3199106458792,289.580298693552,"21","21"
"110",2018-04-20,3.10253389145998,430.526876274844,"21","21"
"111",2018-04-21,7.53194363282251,1008.41110020949,"21","18"
"112",2018-04-22,4.78576429183537,523.034665463281,"21","20"
"113",2018-04-23,4.13468186978142,584.762299709485,"18","20"
"114",2018-04-24,1.64763744390088,229.482241147213,"21","20"
"115",2018-04-25,1.93115031810585,275.522992126197,"21","21"
"116",2018-04-26,1.610258755057,209.372655126745,"21","20"
"117",2018-04-27,1.47856564745199,191.405960572104,"21","20"
"118",2018-04-28,3.3291873421437,436.695385150099,"21","21"
"119",2018-04-29,3.43418233198142,529.723393079733,"21","21"
"120",2018-04-30,2.48214775052827,351.997360555099,"21","21"
"121",2018-05-01,1.95027161922448,269.211458605299,"21","21"
"122",2018-05-02,1.53384844628107,210.840484097601,"21","21"
"123",2018-05-03,3.02028652122537,401.397406889013,"21","21"
"124",2018-05-04,3.29210480276491,471.388776553434,"18","21"
"125",2018-05-05,8.24148743315422,1217.17391440548,"18","21"
"126",2018-05-06,5.55786176886185,786.277582715549,"18","18"
"127",2018-05-07,1.69539147184186,256.80337446935,"18","17"
"128",2018-05-08,2.52055792310388,376.785143073588,"18","21"
"129",2018-05-09,2.59599594122758,390.124580901512,"18","18"
"130",2018-05-10,1.73992288614072,240.835084221071,"18","20"
